Date,Snow_Depth_cm
2019-05-09,0.27
2019-05-10,0.32
2019-05-11,0.06
2019-05-12,0.06
2019-05-13,0.04
2019-05-14,0.08
2019-05-15,0.02
2019-05-16,0.0
2019-05-17,0.0
2019-05-18,0.0
2019-05-19,0.0
2019-05-20,0.0
2019-05-21,0.0
2019-05-22,0.0
2019-05-23,0.0
2019-05-24,0.0
2019-05-25,0.0
2019-05-26,0.0
2019-05-27,0.0
2019-05-28,0.0
2019-05-29,1.08
2019-05-30,1.67
2019-05-31,0.28
2019-06-01,0.0
2019-06-02,0.0
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-08,0.0
2019-06-09,0.0
2019-06-10,0.0
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,0.0
2019-06-14,0.0
2019-06-15,0.0
2019-06-16,0.0
2019-06-17,0.0
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,0.0
2019-06-22,0.0
2019-06-23,0.0
2019-06-24,27.54
2019-06-25,37.66
2019-06-26,14.65
2019-06-27,0.0
2019-06-28,0.0
2019-06-29,0.0
2019-06-30,3.99
2019-07-01,1.43
2019-07-02,0.0
2019-07-03,0.0
2019-07-04,0.0
2019-07-05,0.0
2019-07-06,0.0
2019-07-07,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-13,0.0
2019-07-14,0.0
2019-07-15,0.0
2019-07-16,0.0
2019-07-17,0.0
2019-07-18,0.0
2019-07-19,0.0
2019-07-20,0.0
2019-07-21,0.0
2019-07-22,0.0
2019-07-23,0.0
2019-07-24,0.0
2019-07-25,0.0
2019-07-26,0.0
2019-07-27,0.0
2019-07-28,0.0
2019-07-30,0.0
2019-08-01,0.0
2019-08-03,0.0
2019-08-04,0.0
2019-08-05,0.0
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,0.0
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,0.0
2019-08-16,0.0
2019-08-17,0.0
2019-08-18,0.0
2019-08-19,1.69
2019-08-20,0.0
2019-08-21,5.02
2019-08-22,12.46
2019-08-23,9.62
2019-08-24,10.31
2019-08-25,5.48
2019-08-26,2.46
2019-08-27,0.31
2019-08-28,0.23
2019-08-29,0.55
2019-08-30,0.0
2019-08-31,0.0
2019-09-01,0.0
2019-09-02,0.0
2019-09-03,0.0
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.0
2019-09-10,0.0
2019-09-11,0.0
2019-09-12,0.0
2019-09-13,0.0
2019-09-14,0.0
2019-09-15,0.0
2019-09-16,0.0
2019-09-17,0.0
2019-09-18,0.0
2019-09-19,0.0
2019-09-20,0.0
2019-09-21,0.0
2019-09-22,0.0
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.19
2019-09-26,0.07
2019-09-27,0.0
2019-09-28,0.0
2019-09-29,0.27
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.0
2019-10-05,0.06
2019-10-06,0.54
2019-10-07,0.94
2019-10-08,0.87
2019-10-09,0.31
2019-10-10,0.0
2019-10-11,0.0
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.09
2019-10-15,0.0
2019-10-16,0.0
2019-10-17,0.0
2019-10-18,0.0
2019-10-19,0.06
2019-10-20,0.62
2019-10-21,0.0
2019-10-22,0.16
2019-10-23,0.0
2019-10-24,0.04
2019-10-25,0.0
2019-10-26,0.0
2019-10-27,0.0
2019-10-29,0.0
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-02,0.12
2019-11-03,0.24
2019-11-04,0.0
2019-11-05,0.0
2019-11-06,0.18
2019-11-07,0.04
2019-11-08,0.0
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.11
2019-11-16,0.08
2019-11-17,0.0
2019-11-18,0.0
2019-11-19,0.01
2019-11-20,0.0
2019-11-21,0.0
2019-11-22,0.0
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,0.0
2019-11-26,0.41
2019-11-27,0.0
2019-11-28,0.0
2019-11-29,0.25
2019-11-30,0.09
2019-12-01,0.11
2019-12-02,0.16
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.43
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.33
2019-12-09,0.21
2019-12-10,0.23
2019-12-11,0.13
2019-12-12,0.26
2019-12-13,0.0
2019-12-14,0.0
2019-12-15,0.0
2019-12-16,0.4
2019-12-17,0.15
2019-12-18,0.21
2019-12-19,0.0
2019-12-20,0.01
2019-12-21,0.0
2019-12-22,0.2
2019-12-23,0.0
2019-12-24,0.05
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.0
2019-12-28,0.0
2019-12-29,0.0
2019-12-30,0.25
2019-12-31,0.25
2020-01-01,0.0
2020-01-02,0.0
2020-01-03,0.0
2020-01-04,0.0
2020-01-05,0.26
2020-01-06,0.19
2020-01-07,0.03
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.09
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.03
2020-01-22,0.04
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.36
2020-01-26,0.56
2020-01-27,0.01
2020-01-28,1.96
2020-01-29,3.01
2020-01-30,0.66
2020-01-31,0.0
2020-02-01,0.15
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,0.0
2020-03-03,0.0
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-07,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.05
2020-03-28,0.34
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.07
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.07
2020-04-11,0.0
2020-04-13,0.8
2020-04-14,0.0
2020-04-15,0.08
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-30,0.0
2020-06-01,0.0
2020-06-02,0.2
2020-06-04,0.24
2020-06-05,0.06
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.05
2020-06-12,22.19
2020-06-13,17.27
2020-06-14,8.15
2020-06-15,3.67
2020-06-16,0.0
2020-06-17,2.82
2020-06-18,5.57
2020-06-19,9.24
2020-06-20,3.71
2020-06-21,13.34
2020-06-22,2.49
2020-06-23,42.55
2020-06-24,28.64
2020-06-25,16.54
2020-06-26,12.74
2020-06-27,14.47
2020-06-28,5.86
2020-06-29,12.62
2020-06-30,21.49
2020-07-01,36.03
2020-07-02,28.05
2020-07-03,23.41
2020-07-04,43.73
2020-07-05,55.83
2020-07-06,20.47
2020-07-07,17.85
2020-07-08,26.78
2020-07-09,26.9
2020-07-10,20.15
2020-07-11,15.59
2020-07-12,14.45
2020-07-13,14.38
2020-07-14,11.63
2020-07-15,2.77
2020-07-16,0.73
2020-07-17,0.23
2020-07-18,0.89
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,0.0
2020-07-26,1.56
2020-07-27,19.07
2020-07-28,16.73
2020-07-29,12.62
2020-07-30,10.84
2020-07-31,4.23
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-06,4.25
2020-08-07,4.19
2020-08-08,4.63
2020-08-09,4.73
2020-08-10,4.89
2020-08-11,4.49
2020-08-12,4.51
2020-08-13,4.68
2020-08-14,3.62
2020-08-15,4.84
2020-08-16,4.24
2020-08-17,4.66
2020-08-18,6.18
2020-08-19,5.89
2020-08-20,4.57
2020-08-21,4.61
2020-08-22,4.53
2020-08-23,4.1
2020-08-25,3.88
2020-08-26,4.06
2020-08-27,3.92
2020-08-28,4.1
2020-08-29,3.77
2020-08-30,4.25
2020-08-31,4.86
2020-09-01,4.78
2020-09-02,4.78
2020-09-03,4.67
2020-09-04,4.41
2020-09-05,3.85
2020-09-06,4.27
2020-09-07,5.06
2020-09-08,4.02
2020-09-09,4.12
2020-09-10,4.32
2020-09-11,4.78
2020-09-12,4.58
2020-09-13,4.49
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.16
2020-09-17,0.0
2020-09-18,0.11
2020-09-19,0.34
2020-09-20,0.37
2020-09-21,0.35
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,2.57
2020-10-07,1.62
2020-10-08,0.13
2020-10-09,0.21
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.12
2020-10-14,0.86
2020-10-15,0.85
2020-10-16,0.0
2020-10-17,0.44
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.12
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.06
2020-11-15,0.0
2020-11-16,0.05
2020-11-17,0.0
2020-11-18,0.46
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.13
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.06
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.24
2020-11-30,0.11
2020-12-02,0.18
2020-12-03,0.12
2020-12-04,0.12
2020-12-06,0.0
2020-12-07,0.12
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.18
2020-12-12,0.0
2020-12-13,0.06
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.3
2020-12-17,0.17
2020-12-18,0.0
2020-12-19,0.18
2020-12-20,0.2
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.07
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.17
2020-12-29,0.0
2020-12-30,0.04
2020-12-31,0.06
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.01
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.13
2021-01-07,0.06
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.15
2021-01-12,0.15
2021-01-13,0.17
2021-01-14,0.0
2021-01-15,0.03
2021-01-16,0.0
2021-01-17,0.22
2021-01-18,0.0
2021-01-19,0.0
2021-01-21,0.18
2021-01-22,0.0
2021-01-23,0.0
2021-01-24,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-01-30,25.72
2021-01-31,54.62
2021-02-02,52.09
2021-02-03,37.4
2021-02-04,26.93
2021-02-05,19.02
2021-02-06,12.59
2021-02-07,7.4
2021-02-08,3.55
2021-02-09,1.04
2021-02-10,0.49
2021-02-12,1.38
2021-02-13,1.68
2021-02-14,1.04
2021-02-15,0.17
2021-02-16,0.15
2021-02-17,0.27
2021-02-18,0.47
2021-02-19,0.74
2021-02-20,0.64
2021-02-21,0.52
2021-02-22,0.1
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,0.0
2021-03-03,0.0
2021-03-04,0.0
2021-03-05,0.0
2021-03-06,0.0
2021-03-07,0.0
2021-03-08,0.0
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.32
2021-03-12,0.2
2021-03-13,0.16
2021-03-14,0.0
2021-03-15,10.88
2021-03-16,10.24
2021-03-17,1.23
2021-03-18,1.91
2021-03-19,4.3
2021-03-20,2.03
2021-03-21,1.18
2021-03-22,0.51
2021-03-23,0.45
2021-03-24,0.35
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,0.0
2021-04-01,0.06
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.04
2021-04-10,0.0
2021-04-11,0.48
2021-04-12,0.3
2021-04-13,0.27
2021-04-14,0.53
2021-04-15,0.78
2021-04-16,0.6
2021-04-17,0.41
2021-04-18,0.35
2021-04-19,0.25
2021-04-20,0.15
2021-04-21,0.0
2021-04-22,0.0
2021-04-23,0.56
2021-04-24,0.57
2021-04-25,0.53
2021-04-26,0.91
2021-04-27,0.89
2021-04-28,0.7
2021-04-29,0.68
2021-04-30,0.5
2021-05-01,0.31
2021-05-02,0.02
2021-05-03,0.06
2021-05-04,0.98
2021-05-05,1.05
2021-05-06,0.42
2021-05-07,0.62
2021-05-08,0.27
2021-05-09,0.56
2021-05-10,0.35
2021-05-12,0.0
2021-05-13,0.52
2021-05-14,1.23
2021-05-15,1.39
2021-05-16,1.23
2021-05-17,1.09
2021-05-18,1.23
2021-05-19,0.91
2021-05-20,9.74
2021-05-22,11.24
2021-05-23,10.6
2021-05-24,31.43
2021-05-25,26.21
2021-05-26,21.33
2021-05-27,17.28
2021-05-28,9.29
2021-05-29,6.8
2021-05-30,6.66
2021-05-31,6.06
2021-06-01,13.93
2021-06-02,11.59
2021-06-03,11.74
2021-06-04,8.67
2021-06-05,5.33
2021-06-06,4.61
2021-06-07,3.94
2021-06-08,3.02
2021-06-09,1.94
2021-06-10,2.08
2021-06-11,1.92
2021-06-12,0.95
2021-06-13,0.5
2021-06-14,0.77
2021-06-15,1.35
2021-06-17,1.3
2021-06-18,1.45
2021-06-19,1.14
2021-06-20,1.62
2021-06-21,0.86
2021-06-22,0.96
2021-06-23,2.45
2021-06-24,1.67
2021-06-25,35.92
2021-06-27,30.85
2021-06-28,26.93
2021-06-29,23.45
2021-06-30,24.1
2021-07-01,16.82
2021-07-02,14.93
2021-07-03,12.2
2021-07-04,9.75
2021-07-05,2.85
2021-07-06,1.78
2021-07-07,0.81
2021-07-08,1.0
2021-07-09,1.14
2021-07-10,1.07
2021-07-11,1.05
2021-07-12,0.87
2021-07-13,1.21
2021-07-14,1.87
2021-07-15,1.81
2021-07-16,2.65
2021-07-17,1.87
2021-07-18,0.9
2021-07-19,1.04
2021-07-20,0.95
2021-07-21,0.78
2021-07-22,0.97
2021-07-23,1.22
2021-07-24,1.38
2021-07-25,2.43
2021-07-26,2.02
2021-07-27,1.84
2021-07-28,1.28
2021-07-29,1.28
2021-07-30,1.3
2021-07-31,1.22
2021-08-01,0.0
2021-08-02,0.05
2021-08-03,0.2
2021-08-04,0.07
2021-08-05,0.0
2021-08-06,0.0
2021-08-07,0.0
2021-08-08,1.55
2021-08-09,0.72
2021-08-10,0.75
2021-08-11,0.0
2021-08-12,0.1
2021-08-13,0.13
2021-08-14,0.03
2021-08-15,0.9
2021-08-16,0.47
2021-08-17,0.6
2021-08-18,17.02
2021-08-19,51.33
2021-08-20,5.53
2021-08-21,12.93
2021-08-22,6.17
2021-08-23,1.01
2021-08-24,11.84
2021-08-25,13.43
2021-08-26,11.3
2021-08-27,5.16
2021-08-28,2.28
2021-08-29,0.51
2021-08-30,0.0
2021-08-31,0.0
2021-09-01,3.91
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.21
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.5
2021-09-10,0.48
2021-09-11,0.0
2021-09-12,2.39
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.61
2021-09-17,0.24
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,1.24
2021-09-21,0.93
2021-09-22,1.01
2021-09-23,0.67
2021-09-24,0.33
2021-09-25,0.1
2021-09-26,0.13
2021-09-27,0.76
2021-09-28,0.73
2021-09-29,0.51
2021-09-30,0.18
2021-10-01,0.37
2021-10-02,1.13
2021-10-03,0.89
2021-10-04,0.55
2021-10-05,0.43
2021-10-06,0.58
2021-10-07,0.3
2021-10-08,1.14
2021-10-09,0.69
2021-10-10,0.81
2021-10-11,0.22
2021-10-12,0.42
2021-10-13,0.6
2021-10-14,2.45
2021-10-15,1.83
2021-10-16,1.32
2021-10-17,0.9
2021-10-18,0.75
2021-10-19,0.89
2021-10-20,0.74
2021-10-21,0.39
2021-10-22,0.74
2021-10-23,0.98
2021-10-24,1.06
2021-10-25,0.92
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.09
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.04
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.02
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.01
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.03
2021-12-11,0.0
2021-12-12,0.0
2021-12-13,0.0
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.1
2021-12-24,0.33
2021-12-25,0.2
2021-12-26,0.0
2021-12-28,0.5
2021-12-29,0.0
2021-12-30,0.1
2021-12-31,0.18
2022-01-01,0.34
2022-01-02,0.23
2022-01-03,0.23
2022-01-04,0.41
2022-01-05,0.13
2022-01-06,0.0
2022-01-07,0.07
2022-01-08,0.03
2022-01-09,0.27
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.15
2022-01-16,0.02
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.0
2022-01-21,0.35
2022-01-22,0.16
2022-01-23,0.57
2022-01-24,0.45
2022-01-25,0.0
2022-01-26,0.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,0.0
2022-01-31,0.03
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-05,0.0
2022-02-06,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,0.0
2022-02-14,0.4
2022-02-15,0.02
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-19,0.0
2022-02-20,0.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,0.0
2022-02-27,0.0
2022-02-28,0.0
2022-03-01,0.07
2022-03-02,0.09
2022-03-03,0.13
2022-03-04,0.0
2022-03-05,0.02
2022-03-06,0.0
2022-03-07,0.0
2022-03-08,0.21
2022-03-09,0.07
2022-03-10,0.05
2022-03-11,0.07
2022-03-12,0.15
2022-03-13,0.18
2022-03-14,0.13
2022-03-15,0.1
2022-03-16,0.25
2022-03-17,0.0
2022-03-18,0.0
2022-03-19,0.0
2022-03-20,0.0
2022-03-21,0.0
2022-03-22,0.0
2022-03-23,0.0
2022-03-24,0.0
2022-03-25,0.0
2022-03-26,0.0
2022-03-27,0.1
2022-03-28,0.0
2022-03-29,0.1
2022-03-30,0.0
2022-03-31,0.11
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.12
2022-04-04,0.0
2022-04-05,0.07
2022-04-06,0.07
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.02
2022-04-12,0.19
2022-04-13,0.0
2022-04-14,0.01
2022-04-15,0.09
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.59
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,1.14
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.01
2022-05-05,0.22
2022-05-06,0.1
2022-05-07,0.03
2022-05-08,0.18
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.38
2022-05-12,0.26
2022-05-13,0.14
2022-05-14,0.0
2022-05-15,0.13
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.04
2022-05-19,0.02
2022-05-20,0.0
2022-05-21,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.28
2022-05-29,1.63
2022-05-30,0.0
2022-05-31,1.08
2022-06-01,0.0
2022-06-02,0.31
2022-06-03,10.35
2022-06-05,5.35
2022-06-06,6.43
2022-06-07,4.96
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-11,0.05
2022-06-12,0.05
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.47
2022-06-17,0.27
2022-06-18,0.46
2022-06-19,0.4
2022-06-20,0.0
2022-06-21,0.6
2022-06-22,1.42
2022-06-23,1.9
2022-06-24,0.0
2022-06-25,0.0
2022-06-26,0.05
2022-06-27,1.53
2022-06-28,2.25
2022-06-29,0.25
2022-06-30,0.09
2022-07-02,0.37
2022-07-03,0.0
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.34
2022-07-07,0.0
2022-07-08,6.28
2022-07-09,1.27
2022-07-10,26.67
2022-07-11,38.57
2022-07-12,33.99
2022-07-13,33.35
2022-07-14,40.35
2022-07-15,44.09
2022-07-16,41.26
2022-07-17,34.25
2022-07-18,21.18
2022-07-19,12.67
2022-07-20,7.46
2022-07-21,6.52
2022-07-22,6.76
2022-07-23,4.25
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.11
2022-07-29,0.29
2022-07-30,0.36
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.0
2022-08-03,0.2
2022-08-04,0.7
2022-08-05,0.12
2022-08-06,1.12
2022-08-07,5.66
2022-08-08,7.28
2022-08-09,7.26
2022-08-10,2.21
2022-08-11,0.04
2022-08-12,0.21
2022-08-13,0.0
2022-08-14,1.33
2022-08-15,7.91
2022-08-16,17.42
